id,page_name,section_name,title,content,images,order_index,created_at
1,header,logo,BLR İNŞAAT,Güvenilir ve kaliteli inşaat hizmetleri,"[""https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=200&h=60&fit=crop""]",1,2025-07-18 04:13:54.123906
2,header,navigation,Ana Sayfa,Ana sayfa linki,,1,2025-07-18 04:13:54.123906
3,header,navigation,Hakkımızda,Hakkımızda sayfası linki,,2,2025-07-18 04:13:54.123906
4,header,navigation,Projeler,Projeler sayfası linki,,3,2025-07-18 04:13:54.123906
5,header,navigation,İletişim,İletişim sayfası linki,,4,2025-07-18 04:13:54.123906
6,home,hero,BLR İnşaat,"Bilir İnşaat, Trakya bölgesinde 40 yıldır faaliyet göstermekte olan köklü bir inşaat ve emlak firmasıdır. Nurettin Bilir tarafından kurulan bu firma, yenilikçi bir bakış açısıyla sektörde yer almayı başarmıştır.","[""https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=1200&h=600&fit=crop""]",1,2025-07-18 04:13:54.123906
7,home,about_preview,Hakkımızda,"20 yılı aşkın deneyimimizle, müşterilerimize en kaliteli inşaat hizmetlerini sunuyoruz. Profesyonel ekibimiz ve modern teknolojilerimizle projelerinizi başarıyla tamamlıyoruz.","[""https://images.unsplash.com/photo-1504307651254-35680f356dfd?w=600&h=400&fit=crop""]",1,2025-07-18 04:13:54.123906
8,home,services,Hizmetlerimiz,İş yeri ve ticari alanların inşaatı ve yönetimi üzerine projeler gerçekleştirmektedir.,[],1,2025-07-18 04:13:54.123906
9,home,service_item,Konut İnşaatı,"Modern yaşam alanları oluşturma amacıyla çeşitli konut projeleri geliştirmektedir. ","[""https://images.unsplash.com/photo-1560518883-ce09059eeffa?w=400&h=300&fit=crop""]",1,2025-07-18 04:13:54.123906
10,home,service_item,Ticari İnşaat,"İş yeri ve ticari alanların inşaatı ve yönetimi üzerine projeler gerçekleştirmektedir.
","[""https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=400&h=300&fit=crop""]",2,2025-07-18 04:13:54.123906
11,home,service_item,Emlak Danışmanlığı,"Müşterilere emlak alım, satım ve kiralama süreçlerinde danışmanlık hizmetleri sunmaktadır.
","[""https://images.unsplash.com/photo-1581094794329-c8112a89af12?w=400&h=300&fit=crop""]",3,2025-07-18 04:13:54.123906
12,about,hero,Hakkımızda,Uysal İnşaat olarak 20 yılı aşkın süredir inşaat sektöründe faaliyet gösteriyoruz.,[],1,2025-07-18 04:13:54.123906
13,about,company_info,Şirket Bilgileri,"Bilir İnşaat, Trakya bölgesinde 40 yıldır faaliyet göstermekte olan köklü bir inşaat ve emlak firmasıdır. Nurettin Bilir tarafından kurulan bu firma, yenilikçi bir bakış açısıyla sektörde yer almayı başarmıştır.
",[],1,2025-07-18 04:13:54.123906
