id,page_name,section_name,title,content,images,order_index,created_at
1,header,logo,Uysal İnşaat,Güvenilir ve kaliteli inşaat hizmetleri,"[""https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=200&h=60&fit=crop""]",1,2025-07-18 04:13:54.123906
2,header,navigation,Ana Sayfa,Ana sayfa linki,,1,2025-07-18 04:13:54.123906
3,header,navigation,Hakkımızda,Hakkımızda sayfası linki,,2,2025-07-18 04:13:54.123906
4,header,navigation,Projeler,Projeler sayfası linki,,3,2025-07-18 04:13:54.123906
5,header,navigation,İletişim,İletişim sayfası linki,,4,2025-07-18 04:13:54.123906
6,home,hero,Uysal İnşaat,dddd,"[""https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=1200&h=600&fit=crop""]",1,2025-07-18 04:13:54.123906
7,home,about_preview,Hakkımızda,"20 yılı aşkın deneyimimizle, müşterilerimize en kaliteli inşaat hizmetlerini sunuyoruz. Profesyonel ekibimiz ve modern teknolojilerimizle projelerinizi başarıyla tamamlıyoruz.","[""https://images.unsplash.com/photo-1504307651254-35680f356dfd?w=600&h=400&fit=crop""]",1,2025-07-18 04:13:54.123906
8,home,services,Hizmetlerimiz,"Konut, ticari ve endüstriyel projeler için kapsamlı inşaat hizmetleri",,1,2025-07-18 04:13:54.123906
9,home,service_item,Konut İnşaatı,Modern ve konforlu konut projeleri,"[""https://images.unsplash.com/photo-1560518883-ce09059eeffa?w=400&h=300&fit=crop""]",1,2025-07-18 04:13:54.123906
10,home,service_item,Ticari İnşaat,"Ofis, mağaza ve ticari yapılar","[""https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=400&h=300&fit=crop""]",2,2025-07-18 04:13:54.123906
11,home,service_item,Emlak Danışmanlığı,"Müşterilere emlak alım, satım ve kiralama süreçlerinde danışmanlık hizmetleri sunmaktadır.
","[""https://images.unsplash.com/photo-1581094794329-c8112a89af12?w=400&h=300&fit=crop""]",3,2025-07-18 04:13:54.123906
12,about,hero,Hakkımızda,Uysal İnşaat olarak 20 yılı aşkın süredir inşaat sektöründe faaliyet gösteriyoruz.,"[""https://images.unsplash.com/photo-1504307651254-35680f356dfd?w=1200&h=600&fit=crop""]",1,2025-07-18 04:13:54.123906
13,about,company_info,Şirket Bilgileri,"2003 yılında kurulan şirketimiz, müşteri memnuniyetini ön planda tutarak kaliteli hizmet sunmaktadır.2003 yılında kurulan şirketimiz, müşteri memnuniyetini ön planda tutarak kaliteli hizmet sunmaktadır.2003 yılında kurulan şirketimiz, müşteri memnuniyetini ön planda tutarak kaliteli hizmet sunmaktadır.2003 yılında kurulan şirketimiz, müşteri memnuniyetini ön planda tutarak kaliteli hizmet sunmaktadır.2003 yılında kurulan şirketimiz, müşteri memnuniyetini ön planda tutarak kaliteli hizmet sunmaktadır.",,1,2025-07-18 04:13:54.123906
14,about,mission,Misyonumuz,Müşterilerimizin hayallerini gerçeğe dönüştürmek için en kaliteli malzemeler ve en iyi işçilik ile projeleri tamamlamak.,,1,2025-07-18 04:13:54.123906
15,about,vision,Vizyonumuz,"İnşaat sektöründe güvenilir ve tercih edilen bir marka olmak, sürdürülebilir ve yenilikçi çözümler sunmak.",,1,2025-07-18 04:13:54.123906
16,about,values,Değerlerimiz,"Kalite, güvenilirlik, müşteri memnuniyeti ve sürdürülebilirlik temel değerlerimizdir.",,1,2025-07-18 04:13:54.123906
17,contact,hero,İletişim,"Bizimle iletişime geçin, projeleriniz hakkında konuşalım.","[""https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=1200&h=600&fit=crop""]",1,2025-07-18 04:13:54.123906
18,contact,contact_info,İletişim Bilgileri,"Adres: İstanbul, Türkiye
Telefon: +90 212 555 0123
E-posta: info@uysalinsaat.com",,1,2025-07-18 04:13:54.123906
19,contact,working_hours,Çalışma Saatleri,"Pazartesi - Cuma: 08:00 - 18:00
Cumartesi: 09:00 - 14:00
Pazar: Kapalı",,1,2025-07-18 04:13:54.123906
20,footer,company_info,Uysal İnşaat,Kaliteli ve güvenilir inşaat hizmetleri,"[""https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=200&h=60&fit=crop""]",1,2025-07-18 04:13:54.123906
21,footer,contact_info,İletişim,"Adres: İstanbul, Türkiye
Telefon: +90 212 555 0123
E-posta: info@uysalinsaat.com",,1,2025-07-18 04:13:54.123906
22,footer,social_links,Sosyal Medya,"Facebook, Instagram, LinkedIn",,1,2025-07-18 04:13:54.123906
23,footer,copyright,Telif Hakkı,© 2024 Uysal İnşaat. Tüm hakları saklıdır.,,1,2025-07-18 04:13:54.123906
24,contact,hero,İletişim,"Bizimle iletişime geçin, projeleriniz hakkında konuşalım.",,1,2025-07-23 11:44:14.308039
25,contact,contact_info,İletişim Bilgileri,"Adres: İstanbul, Türkiye\nTelefon: +90 212 555 0123\nE-posta: info@uysalinsaat.com",,2,2025-07-23 11:44:14.308039
26,projects,hero,Projelerimiz,Tüm projelerimizi bu sayfada bulabilirsiniz.,,1,2025-07-23 11:44:14.308039
