id,page,section_name,title,content,images,order_index,created_at
1,header,logo,Bilir İnşaat,Güvenilir ve kaliteli inşaat hizmetleri,"[""https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=200&h=60&fit=crop""]",1,2025-07-18 04:13:54.123906
2,header,phone,Telefon,0 (282) 651 20 30,,1,2025-07-18 04:13:54.123906
3,header,email,E-posta,info@bilirinsaat.com.tr,,1,2025-07-18 04:13:54.123906
4,header,address,Adres,REŞADİYE MAHALLESİ ATATÜRK BULVARI CADDESİ NO:48/D ÇORLU/TEKİRDAĞ,,1,2025-07-18 04:13:54.123906
5,home,hero,Bilir İnşaat,dddd,"[""https://images.unsplash.com/photo-1541888946425-d81bb19240f5?w=1200&h=600&fit=crop""]",1,2025-07-18 04:13:54.123906
6,home,about_preview,Hakkımızda,"20 yılı aşkın deneyimimizle, müşterilerimize en kaliteli inşaat hizmetlerini sunuyoruz. Profesyonel ekibimiz ve modern teknolojilerimizle projelerinizi başarıyla tamamlıyoruz.","[""https://images.unsplash.com/photo-1504307651254-35680f356dfd?w=600&h=400&fit=crop""]",1,2025-07-18 04:13:54.123906
7,home,services,Hizmetlerimiz,"Konut, ticari ve endüstriyel projeler için kapsamlı inşaat hizmetleri",,1,2025-07-18 04:13:54.123906
8,home,service_item,Konut İnşaatı,Modern yaşam alanları oluşturma amacıyla çeşitli konut projeleri geliştirmektedir.,"[""https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=400&h=300&fit=crop""]",1,2025-07-18 04:13:54.123906
9,home,service_item,Ticari İnşaat,İş yeri ve ticari alanların inşaatı ve yönetimi üzerine projeler gerçekleştirmektedir.,"[""https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=400&h=300&fit=crop""]",2,2025-07-18 04:13:54.123906
10,home,service_item,Emlak Danışmanlığı,"Müşterilere emlak alım, satım ve kiralama süreçlerinde danışmanlık hizmetleri sunmaktadır.
 ","[""https://images.unsplash.com/photo-1560518883-ce09059eeffa?w=400&h=300&fit=crop""]",3,2025-07-18 04:13:54.123906
